trial,tipo,tempo_ms,tamanho_bytes,status
1,REST,1323.1804999813903,134162,200/200
2,REST,1147.319299983792,134162,200/200
3,REST,1351.469600020209,134162,200/200
4,REST,1096.1121000000276,134162,200/200
5,REST,1325.132300000405,134162,200/200
6,REST,1105.710400006501,134162,200/200
7,REST,1248.5218000074383,134162,200/200
8,REST,1050.7273999974132,134162,200/200
9,REST,1008.1874000024982,134162,200/200
10,REST,1047.7702999778558,134162,200/200
11,REST,1098.2821000216063,134162,200/200
12,REST,1061.6487999795936,134162,200/200
13,REST,1036.535899998853,134162,200/200
14,REST,1096.5180000057444,134162,200/200
15,REST,1284.3589000112845,134162,200/200
16,REST,1015.6939000007696,134162,200/200
17,REST,1041.1099000193644,134162,200/200
18,REST,1054.6880000038072,134162,200/200
19,REST,1009.6046999969984,134162,200/200
20,REST,1077.8547000081744,134162,200/200
21,REST,1143.4349000046495,134162,200/200
22,REST,1129.85659998958,134162,200/200
23,REST,1003.2655000104568,134162,200/200
24,REST,1021.8075000157114,134162,200/200
25,REST,988.0891999637242,134162,200/200
26,REST,1170.0579000171274,134162,200/200
27,REST,1005.661399976816,134162,200/200
28,REST,1107.2542000038084,134162,200/200
29,REST,1183.6843000201045,134162,200/200
30,REST,1034.7546999983024,134162,200/200
1,GraphQL,1868.216000002576,1540,200
2,GraphQL,1520.160800020676,1540,200
3,GraphQL,1521.4574999990873,1540,200
4,GraphQL,1454.9992000102066,1540,200
5,GraphQL,1590.623800002504,1540,200
6,GraphQL,1473.8290999957826,1540,200
7,GraphQL,1281.1900000087917,1540,200
8,GraphQL,1585.8010000083596,1540,200
9,GraphQL,1835.156300017843,1540,200
10,GraphQL,1647.6459999976214,1540,200
11,GraphQL,1406.3460000033956,1540,200
12,GraphQL,1351.7793999926653,1540,200
13,GraphQL,1639.4132999994326,1540,200
14,GraphQL,1739.177599985851,1540,200
15,GraphQL,1541.5265999909025,1540,200
16,GraphQL,1428.5220000019765,1540,200
17,GraphQL,1261.762500012992,1540,200
18,GraphQL,1604.279199993471,1540,200
19,GraphQL,1636.135699984152,1540,200
20,GraphQL,1955.1686000195327,1540,200
21,GraphQL,2149.0777999861166,1540,200
22,GraphQL,1516.9042000197803,1540,200
23,GraphQL,1320.6842999788933,1540,200
24,GraphQL,1766.224399994826,1540,200
25,GraphQL,1534.701500000665,1540,200
26,GraphQL,1327.2091000108048,1540,200
27,GraphQL,1547.5979000038933,1540,200
28,GraphQL,1299.3966999929398,1540,200
29,GraphQL,1349.114799988456,1540,200
30,GraphQL,2260.4151999985334,1540,200
