trial,tipo,tempo_ms,tamanho_bytes,status
1,GraphQL,1868.216000002576,1540,200
2,GraphQL,1520.160800020676,1540,200
3,GraphQL,1521.4574999990873,1540,200
4,GraphQL,1454.9992000102066,1540,200
5,GraphQL,1590.6238000025041,1540,200
6,GraphQL,1473.8290999957826,1540,200
7,GraphQL,1281.1900000087917,1540,200
8,GraphQL,1585.8010000083596,1540,200
9,GraphQL,1835.156300017843,1540,200
10,GraphQL,1647.6459999976214,1540,200
11,GraphQL,1406.3460000033956,1540,200
12,GraphQL,1351.7793999926653,1540,200
13,GraphQL,1639.4132999994326,1540,200
14,GraphQL,1739.177599985851,1540,200
15,GraphQL,1541.5265999909025,1540,200
16,GraphQL,1428.5220000019763,1540,200
17,GraphQL,1261.762500012992,1540,200
18,GraphQL,1604.2791999934707,1540,200
19,GraphQL,1636.1356999841519,1540,200
20,GraphQL,1955.1686000195332,1540,200
21,GraphQL,2149.0777999861166,1540,200
22,GraphQL,1516.9042000197805,1540,200
23,GraphQL,1320.6842999788933,1540,200
24,GraphQL,1766.224399994826,1540,200
25,GraphQL,1534.701500000665,1540,200
26,GraphQL,1327.2091000108048,1540,200
27,GraphQL,1547.5979000038933,1540,200
28,GraphQL,1299.3966999929398,1540,200
29,GraphQL,1349.114799988456,1540,200
30,GraphQL,2260.4151999985334,1540,200
