trial,tipo,tempo_ms,tamanho_bytes,status
1,REST,1323.1804999813903,134162,200/200
2,REST,1147.319299983792,134162,200/200
3,REST,1351.4696000202093,134162,200/200
4,REST,1096.1121000000276,134162,200/200
5,REST,1325.132300000405,134162,200/200
6,REST,1105.710400006501,134162,200/200
7,REST,1248.5218000074383,134162,200/200
8,REST,1050.7273999974132,134162,200/200
9,REST,1008.1874000024982,134162,200/200
10,REST,1047.7702999778558,134162,200/200
11,REST,1098.2821000216063,134162,200/200
12,REST,1061.6487999795936,134162,200/200
13,REST,1036.535899998853,134162,200/200
14,REST,1096.5180000057444,134162,200/200
15,REST,1284.3589000112843,134162,200/200
16,REST,1015.6939000007696,134162,200/200
17,REST,1041.1099000193644,134162,200/200
18,REST,1054.6880000038072,134162,200/200
19,REST,1009.6046999969985,134162,200/200
20,REST,1077.8547000081744,134162,200/200
21,REST,1143.4349000046495,134162,200/200
22,REST,1129.85659998958,134162,200/200
23,REST,1003.2655000104569,134162,200/200
24,REST,1021.8075000157114,134162,200/200
25,REST,988.0891999637242,134162,200/200
26,REST,1170.0579000171274,134162,200/200
27,REST,1005.661399976816,134162,200/200
28,REST,1107.2542000038084,134162,200/200
29,REST,1183.6843000201043,134162,200/200
30,REST,1034.7546999983024,134162,200/200
